npi,name,source_file,source_id,decision,hapi_id
9999984591,Gabriel934 Reilly981,practitionerInformation1788630120737.json,06df0c3c-f14e-3e37-9f20-51999530245d,EXCEPTION_CONFLICT,
9999984591,Ted955 Reilly981,practitionerInformation1788671814434.json,0073d8e3-5bc0-3c0d-baca-f5e5a9b3041c,EXCEPTION_CONFLICT,
9999962993,Fernande593 Mosciski958,practitionerInformation1788630120737.json,612b0f1a-6784-3157-adc4-f5661d0b8e96,CLEAN_EXISTING,1000
9999899591,Jennefer743 Hudson301,practitionerInformation1788630120737.json,b295e90b-6107-303e-b225-b80e9fb50b2e,CLEAN_EXISTING,1978
9999996397,Gino587 Block661,practitionerInformation1788630120737.json,b3e3cbb4-159e-381c-b0c0-ff010f61e320,EXCEPTION_CONFLICT,
9999996397,Gerry91 Block661,practitionerInformation1788671814434.json,ed51385e-42f3-3915-a329-8916239331fa,EXCEPTION_CONFLICT,
9999945493,Jack927 Rippin620,practitionerInformation1788630120737.json,d413ba6a-5968-3312-aae5-897c8209f6a9,CLEAN_EXISTING,1979
9999996793,Joanna347 Abbott774,practitionerInformation1788630120737.json,0b96a1af-33c0-3b3c-bb0b-c210b64a7511,CLEAN_EXISTING,1980
9999934497,Michaele314 Schoen8,practitionerInformation1788630120737.json,be74a5c6-3e18-34dc-8812-e2cf4582724c,CLEAN_EXISTING,1981
9999988493,Cleveland582 Kuphal363,practitionerInformation1788630120737.json,10d2d6e9-4c96-3038-8c10-350e9a2e0e1b,CLEAN_EXISTING,1982
9999976795,Carrol931 McCullough561,practitionerInformation1788630120737.json,386ddbef-4575-30eb-8184-f9179d93df36,CLEAN_EXISTING,1983
9999990697,Alvin56 Crona259,practitionerInformation1788630120737.json,7a36b0f8-d335-34cb-be3f-2e44820302b4,CLEAN_EXISTING,1984
9999885293,Duncan491 Halvorson124,practitionerInformation1788630120737.json,eb1b1e7e-0438-3e4f-a543-5c2760eab247,CLEAN_EXISTING,1985
9999996090,Thanh759 Weber641,practitionerInformation1788630120737.json,21baa6da-2ec1-3992-ba89-2a2dbca69355,CLEAN_EXISTING,1986
9999867895,Kaley842 Mills423,practitionerInformation1788630120737.json,5fa8dc98-b1e7-3857-889e-c59d7caecac6,CLEAN_EXISTING,1987
9999909093,Traci329 Block661,practitionerInformation1788630120737.json,9a3a7c3f-a963-3ebf-9cb4-bd053fe61576,CLEAN_EXISTING,1988
9999890590,Anika194 Miller503,practitionerInformation1788630120737.json,a082d6ac-74b5-3546-be9e-98d5c892e3df,CLEAN_EXISTING,1989
9999998997,Crystle668 McCullough561,practitionerInformation1788630120737.json,f5de32b2-5bd5-3f98-adb0-4d6adb2c1112,EXCEPTION_CONFLICT,
9999998997,Winston220 McCullough561,practitionerInformation1788719797311.json,3842e01a-0f59-3a0b-9e3b-59520eedf3c0,EXCEPTION_CONFLICT,
9999958397,Jamey282 Graham902,practitionerInformation1788630120737.json,2f96ca32-1a46-3b65-9b47-cbb0efd6a06c,CLEAN_EXISTING,1990
9999986497,Bea654 Daniel959,practitionerInformation1788630120737.json,833f8dde-3978-3b37-801d-3b4485f47f33,CLEAN_EXISTING,1991
9999881292,Domonique463 Satterfield305,practitionerInformation1788630120737.json,d34a0f8a-d1c3-36f5-a72e-41b94518c7b6,CLEAN_EXISTING,1992
9999990499,Lynwood354 Tromp100,practitionerInformation1788630120737.json,cb350cf2-226a-3931-af6e-7948ca464c7b,CLEAN_EXISTING,1993
9999941690,Johnathan55 Padberg411,practitionerInformation1788630120737.json,c7b357b5-746f-3ca9-a103-7981f1c1f3ec,CLEAN_EXISTING,1994
9999992693,Mozell819 Prohaska837,practitionerInformation1788630120737.json,fa686c0e-3128-335c-ba44-9597d245f4a8,EXCEPTION_CONFLICT,
